Comune,Longitudine,Latitudine
invorio,8.48673976,45.75590621
landiona,8.42216872,45.49690699
lesa,8.56484439,45.83011076
maggiora,8.42099488,45.69075412
mandello vitta,8.45918595,45.49523236
marano ticino,8.63193647,45.62982409
massino visconti,8.53880817,45.82190383
meina,8.53760183,45.79003479
mezzomerico,8.60462006,45.62028414
miasino,8.43036112,45.80218966
momo,8.55537053,45.57391222
nebbiuno,8.52423877,45.80607594
nibbiola,8.65635253,45.3717854
novara,8.62191588,45.44588506
oleggio,8.63736389,45.59668789
oleggio castello,8.52971174,45.74931605
orta san giulio,8.40568474,45.79916255
paruzzaro,8.51345761,45.74868723
pella,8.38311698,45.79707067
pettenasco,8.40857519,45.81732142
pisano,8.51043727,45.79354856
pogno,8.38307485,45.75667233
pombia,8.6323888,45.64926665
prato sesia,8.37377395,45.64787501
recetto,8.43608827,45.46080638
romagnano sesia,8.3828762,45.63335002
romentino,8.72085352,45.46260428
san maurizio d opaglio,8.3909581,45.77247196
san nazzaro sesia,8.4235666,45.43813129
san pietro mosezzo,8.54347212,45.45561012
sillavengo,8.44052712,45.52045483
sizzano,8.4373334,45.57734631
soriso,8.40936492,45.74226936
sozzago,8.72097747,45.3978178
suno,8.54092449,45.63114506
terdobbiate,8.69509702,45.37635291
tornaco,8.71790663,45.35736427
trecate,8.73505551,45.43190444
vaprio d agogna,8.55405064,45.60353491
varallo pombia,8.6330528,45.66670204
veruno,8.53051508,45.69094068
vespolate,8.66903813,45.34947293
vicolungo,8.46131719,45.47882953
vinzaglio,8.51840535,45.32365543
acceglio,6.99122231,44.47580767
aisone,7.22083358,44.31344859
alba,8.03569894,44.70092208
albaretto torre,8.06408216,44.59591514
alto,8.00368552,44.10828374
argentera,6.96937784,44.3795888
arguello,8.11067964,44.5829271
bagnasco,8.04258299,44.30207165
bagnolo piemonte,7.31548217,44.7599027
baldissero d alba,7.91574918,44.758713
barbaresco,8.08046453,44.72554836
barge,7.32339364,44.72522006
barolo,7.94180811,44.60988256
bastia mondovi,7.89332172,44.44138607
battifollo,8.00948124,44.31917111
beinette,7.64570648,44.36566802
bellino,7.01716043,44.58060554
belvedere langhe,7.97416757,44.49456526
bene vagienna,7.83282512,44.54523956
benevello,8.10591872,44.62818908
bergolo,8.18352587,44.54801177
bernezzo,7.43531003,44.38860537
bonvicino,8.01592005,44.50362005
borgomale,8.13275549,44.62044163
borgo san dalmazzo,7.48746357,44.32875997
