Annuncio,Link,Modello,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Venditore,CAP,Comune
BMW 120 120i 5p. Msport VIRTUAL,https://www.autoscout24.it/annunci/bmw-120-120i-5p-msport-virtual-benzina-bianco-aad9432a-b73b-4139-bf2d-13f77d3b85be,120i,30900.0,17,automatico,2023,Benzina,136.0,Rivenditore,,
BMW 120 d xDrive 5p. Msport GUSCI-FRENI M SPORT-HARMAN,https://www.autoscout24.it/annunci/bmw-120-d-xdrive-5p-msport-gusci-freni-m-sport-harman-diesel-blu-azzurro-5afa520e-b234-4805-86a4-881859c9cbfd,120d xDrive,33990.0,54,automatico,2020,Diesel,136.0,Rivenditore,,
BMW 130 128ti 5p. Msport Virtual,https://www.autoscout24.it/annunci/bmw-130-128ti-5p-msport-virtual-benzina-nero-31e55990-4601-4ca5-a1cf-0419f513d7a2,128ti,33900.0,25,automatico,2022,Benzina,136.0,Rivenditore,,
BMW 118 d MSport Pro solo 7.617 km!!!!! cerchi 18 pinze r,https://www.autoscout24.it/annunci/bmw-118-d-msport-pro-solo-7-617-km-cerchi-18-pinze-r-diesel-grigio-032120f6-76a1-4971-b354-5df8726a3378,118d,36800.0,7,automatico,2024,Diesel,136.0,Rivenditore,,
BMW 135 m 135i xdrive auto,https://www.autoscout24.it/annunci/bmw-135-m-135i-xdrive-auto-benzina-7142b88c-02a0-474a-9a7e-890284a1935a,M135i xDrive,35800.0,64,automatico,2021,Benzina,136.0,Rivenditore,,
BMW 118 118d 5p. M Sport - PROMO SIRONIAUTO+,https://www.autoscout24.it/annunci/bmw-118-118d-5p-m-sport-promo-sironiauto-diesel-grigio-87ae48f7-86cb-4837-9a8a-8ffbf8ebf55c,118d,31900.0,11,automatico,2024,Diesel,136.0,Rivenditore,,
BMW 135 M 135i xdrive auto,https://www.autoscout24.it/annunci/bmw-135-m-135i-xdrive-auto-benzina-bianco-9166217d-b621-4f40-9228-660fcedbf9c3,M135i xDrive,33000.0,54,automatico,2022,Benzina,136.0,Rivenditore,,
"BMW 118 i 5p. Msport M sport +TETTO+SEDILI GUSCIO+19""+",https://www.autoscout24.it/annunci/bmw-118-i-5p-msport-m-sport-tetto-sedili-guscio-19-benzina-grigio-15cc456a-a856-430e-bff3-3bbfd63fde53,118i,33990.0,20,automatico,2024,Benzina,136.0,Rivenditore,,
BMW 120i 5p. Msport VIRTUAL,https://www.autoscout24.it/annunci/bmw-120-120i-5p-msport-virtual-benzina-grigio-63360f95-10ba-4185-9301-584004182eaa,120i,35900.0,,automatico,,Benzina,136.0,Rivenditore,,
BMW 120 120d Msport Exterior auto,https://www.autoscout24.it/annunci/bmw-120-120d-msport-exterior-auto-diesel-bianco-00be741e-3d2c-4b64-bfb3-e4cf201e6d07,120d,35500.0,32,automatico,2024,Diesel,136.0,Rivenditore,,
BMW 118 5-porte 118d Msport auto,https://www.autoscout24.it/annunci/bmw-118-5-porte-118d-msport-auto-diesel-grigio-1c5c3aed-aa41-4f04-983d-893127070eff,118d,,16,automatico,2024,Diesel,136.0,Rivenditore,,
BMW 120 120d xdrive Msport auto,https://www.autoscout24.it/annunci/bmw-120-120d-xdrive-msport-auto-diesel-grigio-c4629c34-c4f9-408d-a7cd-e08e61a82aea,120d xDrive,35000.0,27,automatico,2024,Diesel,136.0,Rivenditore,,
BMW 118 d Msport,https://www.autoscout24.it/annunci/bmw-118-d-msport-diesel-nero-e99f20fd-d49c-4019-9a78-d0070be9099d,118d,32500.0,34,automatico,2024,Diesel,136.0,Rivenditore,,
BMW 118 d MSport Pro auto,https://www.autoscout24.it/annunci/bmw-118-d-msport-pro-auto-diesel-bianco-6ff5f732-816e-4bba-87d2-bbf373945723,118d,37500.0,4,automatico,2025,Diesel,136.0,Rivenditore,,
BMW 118 Serie 1 F40 118d Msport auto,https://www.autoscout24.it/annunci/bmw-118-serie-1-f40-118d-msport-auto-diesel-grigio-fb73831c-8452-4554-8be1-603ba65602d2,118d,30900.0,16,automatico,2024,Diesel,136.0,Rivenditore,,
BMW 118 (F40) 118d 5p. Msport,https://www.autoscout24.it/annunci/bmw-118-f40-118d-5p-msport-diesel-nero-3730733d-26c5-40c3-8e1a-7ccd0c811295,118d,30500.0,16,automatico,2024,Diesel,136.0,Rivenditore,,
BMW 128 128ti msport,https://www.autoscout24.it/annunci/bmw-128-128ti-msport-benzina-blu-azzurro-61d51e72-b03f-41a1-8c4f-d6f16952fb0d,128ti,35800.0,37,automatico,2022,Benzina,136.0,Rivenditore,,
BMW 116 116d Msport auto,https://www.autoscout24.it/annunci/bmw-116-116d-msport-auto-diesel-grigio-8863f2e7-f5bb-4543-beae-10995837e43c,116d,32000.0,37,automatico,2022,Diesel,136.0,Rivenditore,,
BMW 118 d 5p. Msport m sport SEDILI RISCALDATI,https://www.autoscout24.it/annunci/bmw-118-d-5p-msport-m-sport-sedili-riscaldati-diesel-blu-azzurro-4199b6ab-6fcd-4843-8aad-d9b89308b097,118d,33900.0,15,automatico,2024,Diesel,136.0,Rivenditore,,
"BMW 118 d 5 Porte * KM 0, SERVICE INCLUSIVE 5ANNI/100.000*",https://www.autoscout24.it/annunci/bmw-118-d-5-porte-km-0-service-inclusive-5anni-100-000-diesel-nero-a5ccdd72-897b-4fab-98d1-aab0e3120e57,118d,33900.0,49,automatico,2025,Diesel,136.0,Rivenditore,,
BMW 135 M 135i xdrive auto,https://www.autoscout24.it/annunci/bmw-135-m-135i-xdrive-auto-benzina-nero-19bcc9ca-3da8-4ae1-afdf-3e740e55926d,M135i xDrive,31900.0,66,automatico,2020,Benzina,136.0,Rivenditore,,
BMW 135 M i xdrive auto,https://www.autoscout24.it/annunci/bmw-135-m-i-xdrive-auto-benzina-nero-44813f0c-125d-4c31-bcb4-49b381e351e7,,34900.0,58,automatico,2021,Benzina,136.0,Rivenditore,,
BMW 120 i Msport pro (F70) PRONTA CONSEGNA,https://www.autoscout24.it/annunci/bmw-120-i-msport-pro-f70-pronta-consegna-benzina-bianco-c9b98505-294c-41b1-bd84-04ed3dff8d9e,120i,39300.0,7,automatico,2024,Benzina,136.0,Rivenditore,,
