Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Diesel vs Benzina,is_Ibrido vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
15500,5,195,1,116,1,811,1,0,0,0,0,0,0,1
15500,5,199,1,116,1,607,1,0,0,0,1,0,0,1
15500,5,199,1,116,1,848,1,0,0,0,1,0,0,1
15900,5,140,1,116,1,523,1,0,0,0,0,0,0,1
15999,5,141,1,116,1,120,1,0,0,0,0,0,0,0
16000,5,197,1,116,1,474,1,0,0,1,0,0,0,1
16499,5,142,1,116,1,87,1,0,1,0,0,0,1,0
16500,4,175,1,116,1,811,1,0,0,0,0,0,0,1
16500,5,163,1,116,1,607,1,0,0,0,0,0,0,1
16800,4,202,1,150,1,700,1,0,0,1,0,0,0,1
16850,5,54,1,136,1,326,0,0,0,0,0,0,1,0
16900,5,129,1,116,1,89,1,0,0,0,0,0,0,0
16900,4,122,1,116,1,162,1,0,0,1,0,1,0,0
16900,4,167,1,116,1,812,1,0,0,0,0,0,0,1
16900,5,118,1,116,1,180,1,0,0,0,0,1,0,0
16900,4,167,1,116,1,812,1,0,0,0,0,0,0,1
16900,5,118,1,116,1,180,1,0,0,0,0,1,0,0
16999,5,145,1,136,1,246,0,0,0,1,0,0,1,0
17490,5,96,1,116,1,761,1,0,0,0,0,0,0,1
17499,5,80,1,116,1,176,1,0,0,0,0,0,1,0
17499,4,150,1,116,1,485,1,0,0,1,0,0,0,1
17500,4,216,1,116,1,542,1,0,0,0,0,0,0,1
17500,5,172,1,116,1,326,1,0,0,0,1,0,1,0
17700,5,179,1,116,1,504,1,0,1,0,0,0,0,1
17700,5,179,1,116,1,504,1,0,1,0,0,0,0,1
17800,5,167,1,116,1,629,1,0,0,1,0,0,0,1
17900,4,96,1,109,1,65,0,0,0,0,0,0,0,0
17900,5,79,1,136,1,423,0,0,0,0,0,0,0,1
17950,5,118,1,116,1,78,1,0,0,0,0,0,0,0
17950,4,99,1,136,1,169,0,0,0,0,0,1,0,0
17990,5,59,1,136,1,326,0,0,0,0,0,0,1,0
17990,5,124,1,116,1,42,1,0,0,0,0,0,0,0
17999,4,129,1,116,1,201,1,0,0,0,0,1,0,0
17999,4,98,1,116,1,87,1,0,0,0,1,0,1,0
17999,4,119,1,116,1,87,1,0,0,0,1,0,1,0
17999,4,119,1,150,1,87,1,0,0,0,1,0,1,0
18000,5,137,1,116,1,828,1,0,0,1,0,0,0,1
18100,5,67,1,116,1,587,1,0,0,0,0,0,0,1
18400,5,164,1,116,1,200,1,0,0,0,0,0,1,0
18400,5,99,1,116,1,57,1,0,0,0,1,0,0,0
18490,5,113,1,116,1,837,1,0,0,0,0,0,0,1
18500,5,200,1,150,1,483,1,0,1,0,0,0,0,1
18500,4,70,1,116,1,326,1,0,0,0,0,0,1,0
18800,4,147,1,116,1,464,1,0,0,0,1,0,0,1
18800,4,110,1,109,1,129,0,0,0,0,1,0,0,0
18800,5,123,1,116,1,377,1,0,1,0,0,0,1,0
18899,5,112,1,116,1,581,1,0,0,0,0,0,0,1
18900,5,143,1,150,1,222,1,0,1,0,0,1,0,0
18900,5,99,1,150,1,326,1,0,0,0,0,0,1,0
18900,5,83,1,116,1,611,1,0,0,0,0,0,0,1
18900,3,21,1,136,1,262,0,0,0,0,0,1,0,0
18900,3,26,1,136,1,262,0,0,0,0,0,1,0,0
18900,3,23,1,136,1,262,0,0,0,0,0,1,0,0
18900,4,125,1,116,1,550,1,0,0,0,0,0,0,1
18900,5,127,1,150,1,483,1,0,0,0,0,0,0,1
18900,4,84,1,109,1,86,0,0,0,0,0,0,0,0
18900,5,145,1,116,1,768,1,0,0,1,0,0,0,1
18900,5,125,1,116,1,82,1,0,0,0,0,0,0,0
18950,5,89,1,136,1,163,0,0,0,0,1,0,0,0
18970,4,159,1,150,1,326,1,0,0,0,0,0,1,0
18990,5,89,1,116,1,348,1,0,0,0,0,0,1,0
18990,5,178,1,150,1,811,1,0,1,0,0,0,0,1
18990,4,69,1,116,1,144,1,0,0,0,0,1,0,0
18999,4,190,1,116,1,484,1,0,1,0,0,0,0,1
