Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Ibrido vs Benzina,is_Diesel vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
20999,4,168200,1,110,1,843,0,1,0,0,0,0,0,1
23950,5,84000,1,110,1,163,0,1,1,0,0,0,0,0
24900,3,102245,1,110,1,65,0,1,0,0,1,0,0,0
13990,5,138000,0,110,1,88,0,0,0,0,1,0,0,0
20900,4,124591,0,110,1,285,0,1,0,0,0,1,0,0
24490,4,77356,1,110,1,160,0,1,0,0,0,0,1,0
24500,3,79172,1,110,1,695,0,1,0,0,0,0,0,1
24750,5,36000,1,110,1,20,1,0,0,0,1,0,0,0
19900,5,130000,1,110,1,698,0,1,0,0,1,0,0,1
20500,5,99000,1,110,1,160,0,0,0,0,1,0,1,0
23900,3,109000,1,110,1,119,0,1,0,1,0,1,0,0
23500,3,56542,0,110,1,326,0,0,0,0,0,0,1,0
21900,5,129800,1,110,1,210,0,1,0,0,1,0,1,0
22999,3,149500,1,110,1,843,0,1,0,0,1,0,0,1
23800,4,49460,0,110,1,177,0,0,0,0,1,1,0,0
19990,4,176000,1,110,1,201,0,1,0,0,1,1,0,0
23900,3,110843,1,110,1,223,0,1,0,0,0,1,0,0
24990,4,140000,0,110,1,588,0,1,0,0,1,0,0,1
24300,3,93000,1,110,1,87,0,1,0,0,0,0,0,0
17590,5,132000,1,110,1,94,0,0,0,1,0,0,0,0
24900,4,90228,1,110,1,223,0,0,0,0,0,0,1,0
24900,4,87834,1,110,1,40,1,0,0,0,1,0,0,0
21300,4,109500,0,110,1,105,0,1,0,0,0,0,1,0
24900,5,61500,0,110,1,106,0,1,0,0,1,0,1,0
23800,4,79300,0,110,1,162,0,1,0,0,0,0,0,0
24900,3,62000,1,110,1,164,0,0,0,0,1,0,1,0
21800,5,61735,1,110,1,86,1,0,0,0,1,0,0,0
