Annuncio,Link,Modello,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Venditore,CAP,Comune
Audi A3 A3 SPB 40 TFSI e S tronic S line edition,https://www.autoscout24.it/annunci/audi-a3-a3-spb-40-tfsi-e-s-tronic-s-line-edition-elettrica-benzina-argento-718f85f9-8567-4183-84bc-876beb3ab590,40 TFSI,23499.0,89000,automatico,2021,Ibrido,110.0,Rivenditore,15121,alessandria
"Audi A3 SPORTBACK 40 e-tron S tronic 18"" PLUG IN 204 HP",https://www.autoscout24.it/annunci/audi-a3-sportback-40-e-tron-s-tronic-18-plug-in-204-hp-benzina-grigio-5d58476a-be10-424d-88e9-71c45d147de5,,19900.0,62248,automatico,2020,Benzina,110.0,Rivenditore,27029,vigevano
Audi A3 A3 SPB 30 TDI S tronic Business Advanced,https://www.autoscout24.it/annunci/audi-a3-a3-spb-30-tdi-s-tronic-business-advanced-diesel-blu-azzurro-d667f3aa-8880-439b-b3c4-9761921c7e1e,30 TDI,24950.0,21674,automatico,2022,Diesel,110.0,Rivenditore,40138,bologna
Audi A3 SPB 35 TDI S tronic S line edition,https://www.autoscout24.it/annunci/audi-a3-spb-35-tdi-s-tronic-s-line-edition-diesel-grigio-6d3e9469-6a34-47ae-ac0a-09f7a7a0b388,35 TDI,23300.0,88000,automatico,2021,Diesel,110.0,Rivenditore,39012,merano
Audi A3 SPB 35 TDI S tronic Tetto Apribile Pano + B&O,https://www.autoscout24.it/annunci/audi-a3-spb-35-tdi-s-tronic-tetto-apribile-pano-b-o-diesel-bianco-0c2b9284-4bf8-4de6-99ef-cf6eb427facf,35 TDI,20700.0,70000,automatico,2021,Diesel,110.0,Rivenditore,178,roma
Audi A3 SPB 30 TDI UNIPRO - VIRTUAL COCKPIT,https://www.autoscout24.it/annunci/audi-a3-spb-30-tdi-unipro-virtual-cockpit-diesel-nero-f02585e5-3a48-4e60-a747-d75ed5a8b91f,30 TDI,19400.0,120000,manuale,2021,Diesel,110.0,Rivenditore,46012,bozzolo
Audi A3 SPB 35 TDI S tronic Business,https://www.autoscout24.it/annunci/audi-a3-spb-35-tdi-s-tronic-business-diesel-nero-6fce86fd-7535-4382-ad58-0bfe3ddf4153,35 TDI,21500.0,105000,automatico,2020,Diesel,110.0,Rivenditore,47893,
Audi A3 SPB 30 TDI Business SOLO KM.39000 RETROCAMERA,https://www.autoscout24.it/annunci/audi-a3-spb-30-tdi-business-solo-km-39000-retrocamera-diesel-bianco-2535f3e4-ebf6-4c76-9ea0-5416e08ab0e3,30 TDI,22900.0,39800,manuale,2023,Diesel,110.0,Rivenditore,12062,cherasco
Audi A3 sportback 40 1.4 tfsi e business advanced s-tronic,https://www.autoscout24.it/annunci/audi-a3-sportback-40-1-4-tfsi-e-business-advanced-s-tronic-elettrica-benzina-nero-55019ac9-d759-489c-86dc-faec4c88371c,,22800.0,70000,automatico,2021,Ibrido,110.0,Rivenditore,15121,alessandria
Audi A3 SPB 30 TDI Business Advanced,https://www.autoscout24.it/annunci/audi-a3-spb-30-tdi-business-advanced-diesel-nero-e3082ab9-2bdf-411f-bd28-be7e5b7240ba,30 TDI,19900.0,122589,manuale,2021,Diesel,110.0,Rivenditore,21042,caronno pertusella
Audi A3 Sportback 30 1.5 g-tron Business Advanced S tronic,https://www.autoscout24.it/annunci/audi-a3-sportback-30-1-5-g-tron-business-advanced-s-tronic-metano-nero-f1de9b8d-40ae-4ea7-a9df-93c856da3eac,,20900.0,108632,automatico,2021,Benzina,110.0,Rivenditore,25135,brescia
Audi A3 SPB 40 TFSI e S TRONIC SPORT PLUG IN,https://www.autoscout24.it/annunci/audi-a3-spb-40-tfsi-e-s-tronic-sport-plug-in-elettrica-benzina-bianco-3e3ed941-68a2-4f8e-81d7-52f7d1669a65,40 TFSI,19990.0,38600,automatico,2021,Ibrido,110.0,Rivenditore,178,roma
Audi A3 SPB 40 TFSI e S tronic Business Advanced plug in,https://www.autoscout24.it/annunci/audi-a3-spb-40-tfsi-e-s-tronic-business-advanced-plug-in-elettrica-benzina-blu-azzurro-2ef28f29-9d34-49e1-bddc-281058d22d7f,40 TFSI,22500.0,52000,automatico,2022,Ibrido,110.0,Rivenditore,31100,treviso
Audi A3 Sportback 45 1.4 TFSIe S line Edition S-tronic,https://www.autoscout24.it/annunci/audi-a3-sportback-45-1-4-tfsie-s-line-edition-s-tronic-elettrica-benzina-grigio-a7226599-5186-49d0-81a3-6de9a8448a60,,24400.0,102600,automatico,2021,Ibrido,110.0,Rivenditore,24060,adrara san martino
Audi A3 Sportback 30 2.0 tdi Business,https://www.autoscout24.it/annunci/audi-a3-sportback-30-2-0-tdi-business-diesel-bianco-52bd8925-fa97-4bda-80b2-61e8971c9d22,,23900.0,73500,manuale,2021,Diesel,110.0,Rivenditore,43036,fidenza
Audi A3 Sportback 35 2.0 tdi Business S-tronic € 312,https://www.autoscout24.it/annunci/audi-a3-sportback-35-2-0-tdi-business-s-tronic--312-diesel-nero-92c3cecb-3866-4739-83b1-0f99dbb9c590,,23500.0,79000,automatico,2021,Diesel,110.0,Rivenditore,30037,scorze
Audi A3 A3 SPB 30 TFSI Business,https://www.autoscout24.it/annunci/audi-a3-a3-spb-30-tfsi-business-benzina-blu-azzurro-1f6b139c-059c-4ca6-86bb-41f50e65cc26,30 TFSI,19200.0,59920,manuale,2020,Benzina,110.0,Rivenditore,26100,cremona
Audi A3 SPB 35 TFSI,https://www.autoscout24.it/annunci/audi-a3-spb-35-tfsi-benzina-nero-000e2bf2-34e1-4408-aa2b-e6844a44d497,35 TFSI,23900.0,42230,manuale,2022,Benzina,110.0,Rivenditore,20157,milano
