Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Diesel vs Benzina,is_Ibrido vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
29500,4,70000,1,150,0,105,1,0,0,0,1,0,1,0
25000,5,35000,1,150,0,106,1,0,0,0,1,0,0,0
26000,5,35000,1,150,0,106,1,0,0,0,1,0,0,0
35900,6,69000,1,150,0,86,0,0,0,1,0,0,0,0
33900,6,57000,1,150,0,99,0,0,0,1,0,0,1,0
21990,3,77824,1,116,1,106,1,0,0,0,1,0,0,0
49900,3,7300,1,421,1,326,0,0,0,1,0,0,1,0
20900,4,155542,1,150,1,464,1,0,0,0,1,0,0,1
25900,4,45000,1,150,1,296,1,0,0,0,0,0,1,0
45500,4,34000,1,421,1,326,0,0,0,1,0,0,1,0
19500,6,64294,1,109,1,448,1,0,0,0,0,0,0,1
27500,4,32000,1,150,1,326,1,0,1,0,0,0,1,0
29900,3,20046,1,150,1,127,1,0,0,1,0,0,0,0
25000,6,78000,1,150,1,87,1,0,1,0,0,0,1,0
21900,6,69000,1,116,1,161,1,0,0,0,1,1,0,0
29800,3,9034,1,218,1,164,0,1,0,0,1,0,1,0
29800,3,9034,1,218,1,132,0,1,0,0,1,0,0,0
21990,5,149000,1,116,1,903,1,0,0,0,1,0,0,1
19900,5,135000,1,116,1,99,1,0,0,0,0,0,1,0
36900,2,9800,1,190,1,296,1,0,1,0,0,0,1,0
18900,5,209000,1,116,1,683,1,0,0,0,0,0,0,1
22800,5,60800,1,116,1,775,1,0,0,0,1,0,0,1
21900,6,79000,1,116,1,99,1,0,0,0,1,0,1,0
34999,3,40000,1,190,1,326,1,0,1,0,0,0,1,0
24900,4,57500,1,116,1,296,1,0,0,0,0,0,1,0
27900,4,25544,1,116,1,611,1,0,0,0,1,0,0,1
24930,4,49135,1,218,1,104,0,1,0,0,0,0,1,0
21000,5,118000,1,136,1,91,0,0,0,0,1,0,1,0
50500,2,9000,1,306,1,296,0,1,1,0,0,0,1,0
28890,2,13951,1,116,1,132,1,0,0,0,1,0,0,0
28890,2,13951,1,116,1,164,1,0,0,0,1,0,1,0
35900,2,16106,1,190,1,97,1,0,1,0,0,0,0,0
25230,4,84492,1,218,1,104,0,1,1,0,0,0,1,0
28500,6,93200,1,190,1,841,1,0,1,0,0,0,0,1
24999,6,99000,1,150,1,869,1,0,0,0,1,0,0,1
17900,6,68900,1,109,1,611,0,0,0,0,0,0,0,1
31990,3,39000,1,150,1,296,1,0,1,0,0,0,1,0
62500,2,4500,1,421,1,296,0,0,1,0,0,0,1,0
24900,5,47051,1,116,1,178,1,0,0,0,1,1,0,0
30800,2,12000,1,116,1,283,1,0,0,0,1,0,1,0
57900,4,9000,1,421,1,154,0,0,0,1,0,1,0,0
34900,2,10471,1,150,1,489,1,0,1,0,0,0,0,1
44900,4,75000,1,306,1,614,0,0,0,1,0,0,0,1
34700,2,12160,1,116,1,489,1,0,1,0,0,0,0,1
23900,6,52680,1,163,1,326,0,0,1,0,0,0,1,0
23500,6,99000,1,116,1,807,1,0,0,0,1,0,0,1
26500,4,25000,1,109,1,819,0,0,0,0,1,0,0,1
37900,2,5124,1,150,1,256,1,0,1,0,0,1,0,0
22500,6,77000,1,116,1,483,1,0,0,0,0,0,0,1
34800,3,72618,1,150,1,346,1,0,1,0,0,0,1,0
35300,3,10500,1,163,1,20,0,0,0,1,0,0,0,0
31500,3,54770,1,163,1,177,0,0,1,0,0,1,0,0
35490,4,25700,1,150,1,122,1,0,1,0,0,0,0,0
34300,3,21400,1,163,1,20,0,0,0,1,0,0,0,0
39900,2,2735,1,218,1,350,0,1,1,0,0,0,0,1
22800,6,38700,1,116,1,611,1,0,0,0,0,0,0,1
31000,5,56500,1,218,1,216,0,1,1,0,0,1,0,0
33400,6,46500,1,190,1,326,0,0,1,0,0,0,1,0
29500,4,20637,1,116,1,350,1,0,0,0,1,0,0,1
31490,3,13500,1,136,1,122,0,0,1,0,0,0,0,0
29500,5,49900,1,218,1,163,0,1,1,0,0,0,0,0
34500,2,10500,1,136,1,20,0,1,0,0,1,0,0,0
29490,6,19000,1,116,1,326,1,0,1,0,0,0,1,0
40200,4,27000,1,224,1,20,0,0,1,0,0,0,0,0
28490,6,33487,1,116,1,326,1,0,1,0,0,0,1,0
32500,3,4800,1,136,1,20,0,0,0,0,1,0,0,0
28990,4,52000,1,116,1,708,1,0,0,0,1,0,0,1
27990,5,45000,1,218,1,326,0,1,1,0,0,0,1,0
19500,6,160000,1,116,1,342,1,0,0,0,0,0,1,0
26900,5,10600,1,109,1,119,0,0,0,0,1,0,0,0
27900,5,65000,1,136,1,779,1,0,0,0,0,0,0,1
34900,3,7000,1,136,1,20,0,1,0,1,0,0,0,0
26900,5,17900,1,109,1,119,0,0,0,0,1,0,0,0
38800,2,8070,1,136,1,178,0,1,1,0,0,1,0,0
37300,3,4500,1,163,1,20,0,0,0,1,0,0,0,0
25990,6,120000,1,116,1,750,1,0,1,0,0,0,0,1
27500,5,85000,1,150,1,485,1,0,0,0,1,0,0,1
38900,3,26,1,116,1,178,1,0,1,0,0,1,0,0
38900,1,10,1,150,1,550,1,0,1,0,0,0,0,1
32900,6,24616,1,116,1,943,1,0,1,0,0,0,0,1
31900,5,40000,1,136,1,20,0,0,1,0,0,0,0,0
46490,1,7332,1,150,1,588,1,0,1,0,0,0,0,1
37300,3,7294,1,116,1,20,1,0,1,0,0,0,0,0
33500,6,43000,1,150,1,552,1,0,1,0,0,0,0,1
27850,6,80016,1,116,1,798,1,0,0,0,0,0,0,1
21900,6,199000,1,116,1,842,1,0,1,0,0,0,0,1
23690,6,94890,1,116,1,341,1,0,0,0,1,0,0,1
36500,2,11989,1,150,1,68,1,0,1,0,0,0,0,0
26900,6,61000,1,116,1,779,1,0,0,0,0,0,0,1
28900,6,40000,1,116,1,495,1,0,1,0,0,0,0,1
27900,5,10600,1,109,1,119,0,0,0,0,1,0,0,0
34999,2,15000,1,116,1,326,1,0,1,0,0,0,1,0
27900,5,17900,1,109,1,119,0,0,0,0,1,0,0,0
30900,4,80100,1,116,1,779,1,0,0,0,0,0,0,1
27500,6,96000,1,116,1,455,1,0,1,0,0,0,0,1
65300,3,8200,1,421,1,20,0,0,0,1,0,0,0,0
36700,3,5400,1,163,1,20,0,0,0,1,0,0,0,0
40800,2,2600,1,150,1,20,1,0,1,0,0,0,0,0
40800,2,3800,1,150,1,20,1,0,1,0,0,0,0,0
36900,2,9246,1,116,1,210,1,0,1,0,0,0,1,0
38400,2,18515,1,136,1,178,0,1,1,0,0,1,0,0
37900,2,9612,1,116,1,210,1,0,1,0,0,0,1,0
38500,2,12300,1,136,1,20,0,1,1,0,0,0,0,0
